FECHA,CONCEPTO,PRECIO_PROMEDIO
2018-09-01,alojamiento,58238.40350877193
2018-09-01,comida_fuera,4917.642857142857
2018-09-01,gas_licuado,17256.784049079753
2018-09-01,mantencion_hogar,17886.213836477986
2018-09-01,parafina,689.4866666666666
2018-09-01,taxi,2776.206896551724
2018-10-01,alojamiento,60535.10526315789
2018-10-01,comida_fuera,4886.214285714285
2018-10-01,gas_licuado,16935.91717791411
2018-10-01,mantencion_hogar,18010.1572327044
2018-10-01,parafina,651.3888888888889
2018-10-01,taxi,2808.2758620689656
2018-11-01,alojamiento,60641.771929824565
2018-11-01,comida_fuera,4957.578571428571
2018-11-01,gas_licuado,16383.066871165644
2018-11-01,mantencion_hogar,17453.100628930817
2018-11-01,parafina,613.2688888888889
2018-11-01,taxi,2793.448275862069
2018-12-01,alojamiento,60852.40350877193
2018-12-01,comida_fuera,4819.657142857143
2018-12-01,gas_licuado,15745.0490797546
2018-12-01,mantencion_hogar,18048.53459119497
2018-12-01,parafina,565.4666666666667
2018-12-01,taxi,2774.6206896551726
2019-01-01,alojamiento,499891.54929577466
2019-01-01,comida_fuera,16298.381112984824
2019-01-01,gas_licuado,138190.44505494504
2019-01-01,mantencion_hogar,161017.9775280899
2019-01-01,parafina,3579.866666666667
2019-01-01,taxi,25340.29411764706
2019-02-01,alojamiento,511205.07042253524
2019-02-01,comida_fuera,16006.053962900505
2019-02-01,gas_licuado,135828.85164835164
2019-02-01,mantencion_hogar,158240.44943820225
2019-02-01,parafina,3735.4
2019-02-01,taxi,26584.41176470588
2019-03-01,alojamiento,523372.95774647885
2019-03-01,comida_fuera,16078.66779089376
2019-03-01,gas_licuado,136881.64835164836
2019-03-01,mantencion_hogar,164518.14606741574
2019-03-01,parafina,3864.68
2019-03-01,taxi,27153.529411764706
2019-04-01,alojamiento,495504.92957746476
2019-04-01,comida_fuera,17163.237774030353
2019-04-01,gas_licuado,138256.73076923078
2019-04-01,mantencion_hogar,163582.35955056178
2019-04-01,parafina,3593.76
2019-04-01,taxi,27600.29411764706
2019-05-01,alojamiento,493838.3098591549
2019-05-01,comida_fuera,16747.80775716695
2019-05-01,gas_licuado,135997.0989010989
2019-05-01,mantencion_hogar,158303.37078651684
2019-05-01,parafina,3857.0933333333332
2019-05-01,taxi,27318.529411764706
2019-06-01,alojamiento,505521.54929577466
2019-06-01,comida_fuera,16579.848229342326
2019-06-01,gas_licuado,132726.61538461538
2019-06-01,mantencion_hogar,151878.98876404495
2019-06-01,parafina,4182.546666666667
2019-06-01,taxi,27842.941176470587
2019-07-01,alojamiento,492904.92957746476
2019-07-01,comida_fuera,16767.369308600337
2019-07-01,gas_licuado,131290.71978021978
2019-07-01,mantencion_hogar,165442.35955056178
2019-07-01,parafina,4030.6266666666666
2019-07-01,taxi,27740.58823529412
2019-08-01,alojamiento,504026.9014084507
2019-08-01,comida_fuera,16830.775716694774
2019-08-01,gas_licuado,131234.75274725276
2019-08-01,mantencion_hogar,164145.78651685393
2019-08-01,parafina,4251.293333333333
2019-08-01,taxi,27896.470588235294
2019-09-01,alojamiento,507056.05633802817
2019-09-01,comida_fuera,16740.219224283304
2019-09-01,gas_licuado,129930.62637362638
2019-09-01,mantencion_hogar,161796.7415730337
2019-09-01,parafina,4287.933333333333
2019-09-01,taxi,27988.823529411766
2019-10-01,alojamiento,508019.57746478874
2019-10-01,comida_fuera,16964.586846543003
2019-10-01,gas_licuado,132468.68681318683
2019-10-01,mantencion_hogar,161181.51685393258
2019-10-01,parafina,4222.586666666667
2019-10-01,taxi,26933.235294117647
2019-11-01,alojamiento,477043.38028169016
2019-11-01,comida_fuera,16759.021922428332
2019-11-01,gas_licuado,132326.73626373627
2019-11-01,mantencion_hogar,162741.29213483146
2019-11-01,parafina,4092.173333333333
2019-11-01,taxi,26376.764705882353
2019-12-01,alojamiento,480354.5070422535
2019-12-01,comida_fuera,15859.51939291737
2019-12-01,gas_licuado,134460.2967032967
2019-12-01,mantencion_hogar,163603.59550561797
2019-12-01,parafina,4330.866666666667
2019-12-01,taxi,28052.352941176472
2020-01-01,alojamiento,433297.323943662
2020-01-01,comida_fuera,15735.413153456999
2020-01-01,gas_licuado,129250.25274725274
2020-01-01,mantencion_hogar,164162.6966292135
2020-01-01,parafina,4150.12
2020-01-01,taxi,27824.117647058825
2020-02-01,alojamiento,438857.6056338028
2020-02-01,comida_fuera,16075.66610455312
2020-02-01,gas_licuado,129974.18131868132
2020-02-01,mantencion_hogar,163222.4157303371
2020-02-01,parafina,4005.68
2020-02-01,taxi,27749.117647058825
2020-03-01,alojamiento,452547.323943662
2020-03-01,comida_fuera,15720.151770657672
2020-03-01,gas_licuado,130017.33516483517
2020-03-01,mantencion_hogar,164684.94382022473
2020-03-01,parafina,3761.72
2020-03-01,taxi,15117.64705882353
2020-04-01,alojamiento,475058.3521126761
2020-04-01,comida_fuera,1479.5952782462057
2020-04-01,gas_licuado,126816.32417582418
2020-04-01,mantencion_hogar,120120.84269662922
2020-04-01,parafina,3442.88
2020-04-01,taxi,19388.235294117647
2020-05-01,alojamiento,136358.7323943662
2020-05-01,comida_fuera,4053.878583473862
2020-05-01,gas_licuado,129067.76373626373
2020-05-01,mantencion_hogar,120974.7191011236
2020-05-01,parafina,3635.6133333333332
2020-05-01,taxi,20305.882352941175
2020-06-01,alojamiento,108849.85915492958
2020-06-01,comida_fuera,5213.996627318718
2020-06-01,gas_licuado,129348.5
2020-06-01,mantencion_hogar,137883.5393258427
2020-06-01,parafina,3421.52
2020-06-01,taxi,20305.882352941175
2020-07-01,alojamiento,127152.5352112676
2020-07-01,comida_fuera,4434.232715008432
2020-07-01,gas_licuado,127315.02747252748
2020-07-01,mantencion_hogar,122350.95505617978
2020-07-01,parafina,3406.3333333333335
2020-07-01,taxi,18705.882352941175
2020-08-01,alojamiento,108499.2957746479
2020-08-01,comida_fuera,5364.468802698145
2020-08-01,gas_licuado,127531.32417582418
2020-08-01,mantencion_hogar,125160.89887640449
2020-08-01,parafina,3458.3866666666668
2020-08-01,taxi,17935.29411764706
2020-09-01,alojamiento,136741.97183098592
2020-09-01,comida_fuera,5545.66610455312
2020-09-01,gas_licuado,127260.78571428571
2020-09-01,mantencion_hogar,123413.48314606742
2020-09-01,parafina,3470.8533333333335
2020-09-01,taxi,19717.647058823528
2020-10-01,alojamiento,218561.69014084508
2020-10-01,comida_fuera,5152.445193929174
2020-10-01,gas_licuado,127269.01648351649
2020-10-01,mantencion_hogar,140229.4382022472
2020-10-01,parafina,3011.8
2020-10-01,taxi,19717.647058823528
2020-11-01,alojamiento,238334.78873239437
2020-11-01,comida_fuera,7392.3946037099495
2020-11-01,gas_licuado,123610.48351648351
2020-11-01,mantencion_hogar,141040.8988764045
2020-11-01,parafina,3307.3733333333334
2020-11-01,taxi,20600.0
2020-12-01,alojamiento,284216.4788732394
2020-12-01,comida_fuera,7718.887015177066
2020-12-01,gas_licuado,124467.67582417582
2020-12-01,mantencion_hogar,152675.67415730338
2020-12-01,parafina,3489.5333333333333
2020-12-01,taxi,20900.0
2021-01-01,alojamiento,279044.3661971831
2021-01-01,comida_fuera,7202.107925801012
2021-01-01,gas_licuado,134454.75824175825
2021-01-01,mantencion_hogar,156201.34831460673
2021-01-01,parafina,3621.8533333333335
2021-01-01,taxi,20705.882352941175
2021-02-01,alojamiento,266970.9859154929
2021-02-01,comida_fuera,8031.146711635751
2021-02-01,gas_licuado,137624.76923076922
2021-02-01,mantencion_hogar,151102.8651685393
2021-02-01,parafina,3726.0
2021-02-01,taxi,19570.58823529412
2021-03-01,alojamiento,274859.57746478874
2021-03-01,comida_fuera,8584.654300168633
2021-03-01,gas_licuado,139452.9945054945
2021-03-01,mantencion_hogar,156783.76404494382
2021-03-01,parafina,3830.9333333333334
2021-03-01,taxi,18597.058823529413
2021-04-01,alojamiento,240489.01408450704
2021-04-01,comida_fuera,6725.2951096121415
2021-04-01,gas_licuado,137229.95054945056
2021-04-01,mantencion_hogar,154785.05617977527
2021-04-01,parafina,4120.96
2021-04-01,taxi,20553.235294117647
2021-05-01,alojamiento,272730.0
2021-05-01,comida_fuera,7884.435075885329
2021-05-01,gas_licuado,139256.73626373627
2021-05-01,mantencion_hogar,165080.11235955055
